question,resolution,date_begin,date_resolve_at,baseline_strength,baseline_brier,conversational_strength,conversational_brier
"Will Dwayne Johnson win the 2024 US Presidential Election?",0,2021-12-28,2025-01-21,0.018,0.00032399999999999996,0.5,0.25
"Will Pete Buttigieg be the 2024 Democratic nominee?",0,2021-12-30,2024-08-06,0.046,0.002116,0.5,0.25
"Will Donald Trump be the Republican nominee for president in 2024?",1,2021-12-30,2024-07-16,0.319,0.4637610000000001,0.5,0.25
"Will Ukraine be an official member of NATO by 2025?",0,2022-01-14,2025-01-04,0.097,0.009409,0.5,0.25
"Will the value of Bitcoin pass 100k USD by the end of 2024?",1,2022-01-12,2024-12-06,0.15,0.7224999999999999,0.5,0.25
"Will Donald Trump win the 2024 US Presidential Election?",1,2022-01-14,2024-11-06,0.216,0.6146560000000001,0.5,0.25
"If Kamala Harris becomes the Democratic nominee, will she win the 2024 election?",0,2022-01-15,2024-11-06,0.38,0.1444,0.5,0.25
"Will Joe Biden win the 2024 US Presidential Election?",0,2022-01-14,2024-07-21,0.444,0.197136,0.5,0.25
"Will Biden be the 2024 Democratic Nominee?",0,2022-01-17,2024-07-21,0.672,0.45158400000000004,0.5,0.25
"Will Sweden be an official member of NATO by 2025?",1,2022-01-14,2024-03-08,0.84,0.02560000000000001,0.5,0.25
"Will at least 10 world cities have a generally available self-driving taxi service by 2025?",1,2022-02-13,2024-12-31,0.516,0.234256,0.5,0.25
"Will a Democrat win the White House in 2024?",0,2022-02-14,2024-11-06,0.565,0.3192249999999999,0.5,0.25
"Will Joe Biden resign in his first term?",0,2022-03-05,2025-01-20,0.02,0.0004,0.5,0.25
"Will either Joe Biden or Donald Trump be elected President in 2024?",1,2022-03-06,2024-11-06,0.576,0.17977600000000005,0.5,0.25
"Will Sweden join NATO before 2024?",0,2022-03-05,2024-01-01,0.568,0.32262399999999997,0.5,0.25
"Will ""World War 3"" have begun by 2025?",0,2022-04-17,2025-01-11,0.133,0.017689000000000003,0.5,0.25
"This question will resolve positively on the 1st of January, 2025",1,2022-04-08,2025-01-02,0.989,0.00012100000000000022,0.5,0.25
"Will Jimmy Carter become a centenarian?",1,2022-04-18,2024-10-01,0.118,0.7779240000000001,0.5,0.25
"This question will resolve positively on the 1st of January, 2024",1,2022-04-08,2024-01-01,0.993,4.9000000000000087e-05,0.5,0.25
"Will the next Pope be a Black man?",0,2022-05-04,2025-05-08,0.105,0.011024999999999998,0.5,0.25
"Will people care about prediction markets by 2025?",0,2022-05-10,2025-01-03,0.204,0.04161599999999999,0.5,0.25
"Will China invade Taiwan by the end of 2024?",0,2022-05-09,2025-01-01,0.067,0.004489000000000001,0.5,0.25
"Will Donald Trump be the Republican presidential nominee for 2024?",1,2022-05-25,2024-07-22,0.43,0.3249000000000001,0.5,0.25
"Will Joe Biden get impeached in his first term?",0,2022-06-15,2025-01-20,0.141,0.019880999999999996,0.5,0.25
